,Season,Player,Market_Value,Position,Passes,Big Chance Missed,Clearence,CleanSheet,Tackles,Goals,Shoots,Assists,Touches,Minutes
49,2016,Granit Xhaka,29.75,0,2298.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,2681.0,0.0
50,2015,Laurent Koscielny,16.15,0,1691.0,0.0,186.0,15.0,0.0,0.0,0.0,0.0,2217.0,0.0
51,2015,Nacho Monreal,8.5,0,1844.0,0.0,114.0,17.0,80.0,0.0,0.0,0.0,2759.0,0.0
52,2015,Aaron Ramsey,21.25,0,2154.0,0.0,0.0,14.0,78.0,5.0,69.0,4.0,2774.0,0.0
53,2014,Per Mertesacker,15.3,0,1776.0,0.0,194.0,12.0,0.0,0.0,0.0,0.0,2174.0,0.0
54,2014,Nacho Monreal,9.35,0,1247.0,0.0,124.0,0.0,65.0,0.0,0.0,0.0,1854.0,0.0
55,2014,Aaron Ramsey,17.0,0,1641.0,0.0,0.0,0.0,58.0,6.0,63.0,6.0,2110.0,0.0
56,2013,Per Mertesacker,13.6,0,1706.0,0.0,247.0,16.0,0.0,0.0,0.0,0.0,2164.0,0.0
57,2013,Bacary Sagna,12.33,Defender,1854.0,0.0,175.0,15.0,0.0,0.0,0.0,0.0,2795.0,0.0
58,2013,Mikel Arteta,9.35,0,2152.0,0.0,0.0,10.0,105.0,0.0,0.0,0.0,2563.0,0.0
59,2012,Per Mertesacker,11.9,0,1702.0,0.0,163.0,14.0,0.0,0.0,0.0,0.0,2024.0,0.0
60,2012,Bacary Sagna,16.15,Defender,1497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2168.0,0.0
61,2012,Mikel Arteta,12.33,0,2750.0,0.0,0.0,13.0,108.0,6.0,0.0,0.0,3196.0,0.0
62,2012,Aaron Ramsey,9.78,0,1934.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,2403.0,0.0
63,2011,Thomas Vermaelen,15.3,0,1459.0,0.0,120.0,0.0,0.0,6.0,0.0,0.0,1900.0,0.0
64,2011,Mikel Arteta,14.45,0,2304.0,0.0,0.0,11.0,0.0,7.0,0.0,0.0,2733.0,0.0
65,2011,Aaron Ramsey,5.1,0,1925.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,2422.0,0.0
66,2011,Robin van Persie,20.4,0,0.0,0.0,0.0,11.0,0.0,30.0,174.0,9.0,1757.0,0.0
67,2016,Hugo Lloris,20.4,Goalkeeper,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3005.0
68,2016,Jan Vertonghen,21.25,Defender,2051.0,0.0,221.0,13.0,0.0,0.0,0.0,0.0,2552.0,0.0
69,2016,Kyle Walker,17.0,Defender,1464.0,0.0,0.0,14.0,72.0,0.0,0.0,5.0,2366.0,0.0
70,2016,Eric Dier,18.7,Midfielder,1981.0,0.0,142.0,15.0,0.0,0.0,0.0,0.0,2402.0,3044.0
71,2016,Victor Wanyama,15.3,Midfielder,1971.0,0.0,0.0,12.0,90.0,0.0,0.0,0.0,2464.0,3015.0
72,2016,Dele Alli,34.0,Midfielder,0.0,11.0,0.0,0.0,0.0,18.0,94.0,7.0,0.0,3043.0
73,2016,Christian Eriksen,29.75,Midfielder,1977.0,0.0,0.0,13.0,0.0,8.0,133.0,15.0,2753.0,3164.0
74,2015,Toby Alderweireld,9.35,Defender,2076.0,0.0,285.0,13.0,0.0,4.0,0.0,0.0,2644.0,0.0
75,2015,Kyle Walker,14.45,Defender,0.0,0.0,106.0,12.0,87.0,0.0,0.0,0.0,2222.0,0.0
76,2015,Eric Dier,5.95,Midfielder,2084.0,0.0,0.0,11.0,80.0,0.0,0.0,0.0,2542.0,0.0
77,2015,Christian Eriksen,22.95,Midfielder,1841.0,0.0,0.0,0.0,0.0,6.0,100.0,13.0,2582.0,0.0
78,2014,Jan Vertonghen,18.7,Defender,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,1884.0,0.0
79,2014,Eric Dier,3.83,Midfielder,1229.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,1830.0,0.0
80,2014,Ryan Mason,213.0,0,1607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2040.0,0.0
81,2014,Christian Eriksen,15.3,Midfielder,1977.0,0.0,0.0,0.0,0.0,10.0,97.0,0.0,2719.0,0.0
82,2013,Michael Dawson,7.65,0,1572.0,0.0,250.0,13.0,0.0,0.0,0.0,0.0,2048.0,0.0
83,2013,Kyle Walker,13.6,Defender,1395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2151.0,0.0
84,2012,Jan Vertonghen,12.75,Defender,1625.0,0.0,296.0,0.0,104.0,0.0,0.0,0.0,2521.0,0.0
85,2012,Kyle Walker,13.6,Defender,1599.0,0.0,184.0,0.0,83.0,0.0,0.0,4.0,2683.0,0.0
86,2012,Gareth Bale,34.0,0,0.0,0.0,0.0,0.0,0.0,21.0,165.0,0.0,2096.0,0.0
