Player,Market_Value,Club,Passes,Big Chances Missed,Clearence,Tackles,Goals,Shots,Assists,Touches,Position
Kurt Zouma,14.45,Chelsea,128,0,11,8,0,0,1,179,Defender
Gary Cahill,13.6,Chelsea,1849,0,167,53,6,24,0,2273,Defender
Nathan Ake,6.8,Chelsea,59,0,3,4,0,1,1,71,Defender
John Terry,0.85,Chelsea,320,1,21,3,1,8,0,372,Defender
Marcos Alonso,17,Chelsea,1250,2,76,56,6,46,3,2081,Defender
Cesar Azpilicueta,21.25,Chelsea,2459,0,119,84,1,18,4,3037,Defender
N'Golo Kante,34,Chelsea,2122,2,41,127,1,27,1,2671,Midfielder
Nemanja Matic,29.75,Chelsea,1865,0,46,51,1,20,7,2249,Midfielder
Cesc Fabregas,29.75,Chelsea,1326,0,16,30,5,26,12,1600,Midfielder
Eden Hazard,59.5,Chelsea,1750,9,4,18,16,77,5,2486,Midfielder
Willian,27.2,Chelsea,777,0,5,19,8,44,2,1172,Midfielder
Pedro,21.25,Chelsea,947,2,11,48,9,59,9,1446,Forward
Victor Moses,10.2,Chelsea,1010,2,48,47,3,45,2,1814,Midfielder
Diego Costa,42.5,Chelsea,1034,12,39,18,20,111,7,1763,Forward
Michy Batshuayi,21.25,Chelsea,80,2,0,2,5,17,1,145,Forward
Joel Robles,4.25,Everton,570,0,16,0,0,0,1,761,Goalkeeper
Ramiro Funes Mori,10.2,Everton,794,1,111,26,0,12,1,1065,Defender
Ashley Williams,6.8,Everton,1720,1,287,53,1,15,3,2264,Defender
Phil Jagielka,2.13,Everton,1216,0,208,43,3,14,2,1632,Defender
Mason Holgate,2.13,Everton,643,0,67,41,0,6,1,1030,Defender
Leighton Baines,10.2,Everton,1309,1,65,63,2,15,3,2032,Defender
Seamus Coleman,14.45,Everton,920,0,68,53,4,18,3,1698,Defender
Morgan Schneiderlin,18.7,Everton,851,0,28,25,1,8,0,1009,Midfielder
Gareth Barry,1.28,Everton,1376,0,57,70,2,17,1,1732,Midfielder
James McCarthy,12.75,Everton,247,0,0,19,1,6,1,363,Midfielder
Idrissa Gueye,10.2,Everton,1885,2,39,135,1,25,1,2420,Midfielder
Tom Davies,1.28,Everton,783,1,10,36,2,14,3,1059,Midfielder
Ross Barkley,18.7,Everton,1651,5,35,30,5,89,8,2320,Midfielder
Yannick Bolasie,17,Everton,282,1,8,18,1,27,4,589,Forward
Kevin Mirallas,11.05,Everton,720,1,11,18,4,61,6,1198,Midfielder
Aaron Lennon,5.1,Everton,0,0,9,13,0,5,1,216,Midfielder
Romelu Lukaku,42.5,Everton,965,8,27,9,25,110,6,1517,Forward
Enner Valencia,8.5,Everton,198,3,9,15,3,24,1,398,Forward
Sadio Mane,32.3,Liverpool,1020,3,10,23,13,57,5,1562,Midfielder
Nicolíçs Otamendi,25.5,Manchester City,1945,0,190,69,1,15,1,2440,Defender
Yaya Toure,8.5,Manchester City,1798,1,39,42,5,32,0,2074,Midfielder
Gael Clichy,6.8,Manchester City,1454,0,86,44,1,0,0,1979,Defender
Sergio Aguero,55.25,Manchester City,771,13,0,18,20,139,3,1325,Forward
Leroy Sane,25.5,Manchester City,691,6,5,35,5,33,3,1117,Midfielder
Jesus Navas,12.75,Manchester City,582,0,13,19,0,8,0,890,Midfielder
Ilkay Gundogan,25.5,Manchester City,505,0,4,10,3,16,1,617,Midfielder
Mousa Dembele,15.3,Tottenham Hotspur,1479,0,20,64,1,15,1,1865,Midfielder
Son Heung-Min,21.25,Tottenham Hotspur,775,5,6,19,14,80,6,1265,Midfielder
Erik Lamela,22.1,Tottenham Hotspur,305,1,0,13,1,18,1,475,Midfielder
